Таблица 8: Amazon Baby | k = 20,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.019661,0.008514,0.005522,0.859977,16.6187
DiffuRec,50,0.043595,0.017592,0.010497,0.389761,7.9981
SASRec,50,0.021928,0.008311,0.004606,0.845841,19.3891
GPTRec,50,0.019920,0.007500,0.004208,0.887435,7.0740
ADRec,100,0.024342,0.010674,0.006955,0.835369,31.9406
DiffuRec,100,0.045152,0.019379,0.012346,0.701571,11.7842
SASRec,100,0.024104,0.009395,0.005513,0.841768,17.3221
GPTRec,100,0.022933,0.008618,0.004741,0.888743,7.3713
T-DiffRec,-,0.028404,0.015683,0.020328,0.260598,30.5022
TopPopular,-,0.038217,0.014289,0.007865,0.004218,0.0556
Random,-,0.002689,0.001023,0.000590,1.000000,6.5949
