Таблица 6: Amazon Toys | k = 100,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.081125,0.026119,0.013954,0.988460,19.4759
DiffuRec,50,0.156310,0.051772,0.028351,0.988917,10.2915
SASRec,50,0.072118,0.021926,0.011013,0.979552,24.0973
GPTRec,50,0.058033,0.015361,0.006320,0.995275,9.3697
ADRec,100,0.101219,0.033444,0.018297,0.987886,37.3529
DiffuRec,100,0.150650,0.049962,0.027272,0.994329,12.7206
SASRec,100,0.073031,0.022180,0.011099,0.984191,23.5748
GPTRec,100,0.056860,0.014816,0.005964,0.995790,9.5048
T-DiffRec,-,0.057753,0.020545,0.016359,0.610508,47.4560
TopPopular,-,0.057070,0.019882,0.016074,0.010138,0.0750
Random,-,0.007916,0.002341,0.001471,1.000000,12.7537
