Таблица 3: ML-1M | k = 100,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.440269,0.135855,0.066755,0.809211,4.1334
DiffuRec,50,0.496618,0.167292,0.091472,0.868924,2.2412
SASRec,50,0.304462,0.090136,0.042060,0.898143,3.3499
GPTRec,50,0.312336,0.086294,0.036709,0.870563,1.6628
ADRec,100,0.465508,0.148532,0.076300,0.802632,8.0825
DiffuRec,100,0.492672,0.164978,0.089135,0.912070,2.8856
SASRec,100,0.350831,0.108250,0.054617,0.894320,4.2141
GPTRec,100,0.345582,0.095717,0.040508,0.880120,1.7455
T-DiffRec,-,0.216954,0.224709,0.411978,0.661162,4.7692
TopPopular,-,0.236604,0.295997,0.542596,0.158656,0.0531
Random,-,0.028083,0.036887,0.097869,1.000000,0.7625
